,State,County,lat,lon,# Droughts PET (2 CAT/2wk)(2 wk intervals),# Droughts PET (2 CAT/2wk)(4 wk intervals),# Droughts PET (2 CAT/4wk)(2 wk intervals),# Droughts PET (2 CAT/4wk)(4 wk intervals),# Droughts PET (-2 Z-SCORE/2wk)(2 wk intervals),# Droughts PET (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts PET (-2 Z-SCORE/4wk)(2 wk intervals),# Droughts PET (-2 Z-SCORE/4wk)(4 wk intervals),# Droughts VWC (2 CAT/2wk)(Tuesdays),# Droughts VWC (2 CAT/4wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/2wk)(Tuesdays),# Droughts VWC (-2 Z-SCORE/4wk)(Tuesdays),# Droughts Precip (2 CAT/2wk)(2 wk intervals),# Droughts Precip (2 CAT/2wk)(4 wk intervals),# Droughts Precip (2 CAT/4wk)(2 wk intervals),# Droughts Precip (2 CAT/4wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(2 wk intervals),# Droughts Precip (-2 Z-SCORE/2wk)(4 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(2 wk intervals),# Droughts Precip (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month PET (2 CAT/2wk)(2 wk intervals),Highest Month PET (2 CAT/2wk)(4 wk intervals),Highest Month PET (2 CAT/4wk)(2 wk intervals),Highest Month PET (2 CAT/4wk)(4 wk intervals),Highest Month PET (-2 Z-SCORE/2wk)(2 wk intervals),Highest Month PET (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month PET (-2 Z-SCORE/4wk)(2 wk intervals),Highest Month PET (-2 Z-SCORE/4wk)(4 wk intervals),Highest Month VWC (2 CAT/2wk)(Tuesdays),Highest Month VWC (2 CAT/4wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/2wk)(Tuesdays),Highest Month VWC (-2 Z-SCORE/4wk)(Tuesdays),Highest Month Precip (2 CAT/2wk)(2 wk intervals),Highest Month Precip (2 CAT/2wk)(4 wk intervals),Highest Month Precip (2 CAT/4wk)(2 wk intervals),Highest Month Precip (2 CAT/4wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(2 wk intervals),Highest Month Precip (-2 Z-SCORE/2wk)(4 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(2 wk intervals),Highest Month Precip (-2 Z-SCORE/4wk)(4 wk intervals)
0,ME,Knox,44.188073,-69.217193,36,21,29,21,39,11,23,26,27,21,47,46,32,20,29,20,33,11,26,19,['June'],['July'],"['May', 'September']",['July'],['April'],"['July', 'June']","['March', 'July']",['May'],"['May', 'September']",['April'],"['May', 'April', 'June']",['June'],['July'],['May'],['July'],['May'],['July'],['March'],['July'],"['June', 'May', 'September']"
1,MD,Calvert,38.577824,-76.590198,33,19,30,19,26,7,29,21,6,0,30,27,27,24,25,24,28,11,26,21,['July'],['July'],"['July', 'September', 'June']",['July'],['May'],"['May', 'March']",['March'],"['August', 'March']",['March'],[],['May'],['April'],['May'],['May'],['April'],['May'],['April'],['May'],"['May', 'April']",['April']
2,MD,Cecil,39.580285,-75.909392,35,22,31,22,27,10,29,23,25,20,44,31,32,21,31,21,27,11,21,18,['April'],"['July', 'September', 'August']","['March', 'August']","['July', 'September', 'August']",['May'],['March'],['March'],['March'],['April'],['September'],['May'],['April'],"['April', 'May', 'August']","['March', 'June', 'August', 'September']","['May', 'April']","['March', 'June', 'August', 'September']","['May', 'April']","['August', 'May']",['April'],['May']
3,MD,Talbot,38.746127,-76.16355,33,20,31,20,26,6,27,16,13,13,27,27,32,25,34,25,33,13,30,22,['July'],['July'],['March'],['July'],['May'],"['May', 'March']",['March'],"['August', 'March']",['April'],['March'],['April'],"['April', 'May']",['May'],['May'],"['April', 'August']",['May'],['April'],['May'],"['June', 'April']",['August']
4,MA,Barnstable,41.680524,-70.248648,33,41,25,41,25,19,24,21,17,12,42,26,34,21,36,21,37,13,31,28,['July'],['June'],"['April', 'June', 'May']",['June'],['March'],['July'],['April'],['April'],"['April', 'March']","['March', 'September']",['May'],['April'],['May'],['September'],['April'],['September'],['May'],"['June', 'March']",['April'],"['March', 'May', 'August']"
5,MA,Nantucket,41.26842,-70.036824,6,7,6,7,5,4,5,5,5,3,7,4,7,6,6,6,7,5,5,3,"['April', 'June']","['April', 'June']","['March', 'June', 'July', 'October', 'April', 'May']","['April', 'June']",['April'],['June'],"['June', 'July', 'October', 'April', 'May']",['May'],['April'],"['May', 'April', 'July']",['April'],['September'],['July'],"['August', 'September']",['June'],"['August', 'September']","['October', 'July']",['September'],['September'],"['May', 'July', 'August']"
6,MA,Suffolk,42.326256,-71.084657,40,28,36,28,41,20,37,29,22,15,51,45,39,21,32,21,33,12,29,24,['July'],['July'],['August'],['July'],"['July', 'April']",['July'],['September'],['June'],['April'],['September'],"['April', 'May']",['July'],"['April', 'August']",['June'],"['March', 'July', 'September']",['June'],['August'],"['June', 'March', 'August', 'May']","['April', 'July', 'September']",['May']
7,NY,Monroe,43.081408,-77.729899,40,20,38,20,34,10,33,22,23,21,29,40,38,28,33,28,34,15,31,24,"['July', 'August', 'April']",['May'],"['July', 'March']",['May'],['September'],['May'],['March'],"['March', 'May']",['April'],['April'],['May'],['May'],['June'],['September'],['June'],['September'],['May'],['June'],"['April', 'May']",['September']
8,NY,Niagara,43.194518,-78.786643,26,17,21,17,13,9,22,16,22,19,24,25,39,28,32,28,30,8,22,17,['April'],['August'],['April'],['August'],['March'],['August'],['April'],['April'],"['September', 'April']",['September'],"['April', 'September']",['May'],['May'],"['August', 'May']",['May'],"['August', 'May']",['September'],['August'],"['July', 'May']",['May']
9,NY,Orleans,43.255515,-78.23546,39,30,37,30,33,9,33,26,19,17,31,26,36,23,31,23,31,9,24,22,"['July', 'April']",['July'],"['August', 'March']",['July'],['September'],['September'],['August'],['May'],['September'],['September'],"['April', 'May']",['May'],['May'],['September'],['May'],['September'],"['April', 'May', 'September']",['May'],['May'],['September']
10,NY,Suffolk,40.943554,-72.692218,36,27,37,27,41,16,31,30,17,13,47,37,31,23,25,23,34,13,26,23,['August'],['July'],['August'],['July'],"['April', 'June', 'July']",['July'],['June'],['July'],['April'],['March'],['May'],"['April', 'July']","['August', 'July']",['July'],"['July', 'May']",['July'],['July'],['July'],['July'],['June']
11,NY,Wayne,43.145832,-77.017732,39,27,40,27,38,8,30,24,30,28,52,37,34,29,30,29,39,17,34,29,['July'],['July'],"['May', 'July']",['July'],['September'],"['May', 'April', 'September']",['March'],"['March', 'July', 'April']",['May'],['April'],"['April', 'May']",['April'],"['June', 'April']",['September'],"['June', 'May']",['September'],['April'],['August'],"['June', 'September', 'May']",['April']
12,PA,Monroe,41.056233,-75.329037,31,25,30,25,23,13,24,24,28,25,42,29,34,16,32,16,29,10,19,23,"['June', 'July', 'April']","['July', 'September']",['June'],"['July', 'September']","['September', 'May']","['August', 'March', 'September']",['July'],"['August', 'March']",['April'],"['March', 'September']","['June', 'April', 'May']","['July', 'June', 'May']",['April'],['May'],"['May', 'April']",['May'],"['April', 'May']",['May'],"['May', 'June', 'April']","['June', 'May']"
13,PA,Wayne,41.646589,-75.292485,37,20,36,20,37,11,31,25,33,31,40,38,39,17,37,17,34,10,28,22,['July'],"['July', 'September']",['March'],"['July', 'September']","['September', 'May', 'April']","['July', 'March']",['March'],"['March', 'April']",['April'],['September'],['April'],['July'],['April'],['May'],"['March', 'May', 'July']",['May'],"['April', 'May']",['May'],"['May', 'June']","['June', 'April', 'July', 'May']"
14,VT,Orleans,44.828442,-72.25163,35,27,31,27,35,13,24,27,32,31,49,41,37,25,31,25,36,12,25,22,['April'],['July'],['March'],['July'],['April'],['June'],['March'],"['April', 'August']",['April'],['April'],['July'],['June'],['May'],"['September', 'May', 'June']",['May'],"['September', 'May', 'June']",['September'],"['September', 'March']",['July'],"['June', 'September', 'April']"
15,WV,Monroe,37.550353,-80.547891,29,21,29,21,25,11,29,17,18,14,30,31,39,27,36,27,33,18,37,26,"['May', 'June']",['July'],"['July', 'June']",['July'],['May'],['May'],"['July', 'April', 'March']","['April', 'March']",['April'],['April'],['July'],"['June', 'May', 'July']",['June'],"['May', 'September']","['April', 'June']","['May', 'September']",['June'],['June'],['June'],['August']
16,WV,Wayne,38.145531,-82.419698,22,32,24,32,23,19,26,19,18,14,43,37,35,20,32,20,36,14,27,24,['July'],"['June', 'July']",['July'],"['June', 'July']",['August'],['May'],"['April', 'August']",['August'],['April'],['April'],['May'],['April'],"['August', 'April']","['March', 'September']","['July', 'April', 'May']","['March', 'September']",['April'],['September'],['April'],['April']
