date,pet,pet 1 rolling,pet 1 rolling Residuals,pet 2 rolling,pet 2 rolling Residuals,pet 4 rolling,pet 4 rolling Residuals
2014-03-04,-1.9162547919899224,-1.9162547919899224,0.65287674482679,-1.9162547919899082,1.7567058006476288,-1.9162547919899295,-0.38088265501429097
2014-03-11,-4.45391659270972,-4.45391659270972,-0.6567907073447712,-6.370171384699628,-0.2277244394237492,-6.370171384699649,0.30564171420409636
2014-03-18,-4.358502253517508,-4.358502253517508,0.6666179803956771,-8.812418846227214,-0.2004855483129937,-10.728673638217158,1.0875804227311097
2014-03-25,-5.788818026706576,-5.788818026706576,0.46429655575484574,-10.14732028022407,0.9340993703284912,-16.51749166492373,0.43920335795264265
2014-04-01,-4.906763518042862,-4.906763518042862,2.574345412966796,-10.695581544749423,2.85532445844148,-19.508000390976672,2.589135593827809
2014-04-08,-10.579976068437098,-10.579976068437098,-1.870872788879204,-15.486739586479946,0.533652769349299,-25.63405986670405,1.6035170801449539
2014-04-15,-13.258375189825891,-13.258375189825891,-3.3212775617197607,-23.838351258262975,-5.348472549795389,-34.53393280301243,-2.1559148942353232
2014-04-22,-12.054425183311103,-12.054425183311103,-0.8893332066567368,-25.31280037313698,-4.353435312031053,-40.799539959616965,-3.2810810887953323
2014-04-29,-10.660438014566898,-10.660438014566898,1.732648310635705,-22.71486319787799,0.71398821586628,-46.55321445614099,-3.894314623391253
2014-05-06,-11.725247240066528,-11.725247240066528,1.8958334336843112,-22.38568525463341,3.5126525117491987,-47.69848562777043,0.10085516702383046
2014-05-13,-19.562406457960606,-19.562406457960606,-4.71333143566153,-31.28765369802712,-2.919829579035273,-54.002516895905146,-1.0627351391827773
2014-05-20,-14.60038439631462,-14.60038439631462,1.4766849745326915,-34.162790854275215,-3.3254803826450257,-56.54847610890866,1.5317466097418162
2014-05-27,-14.563871420174836,-14.563871420174836,2.741192299220712,-29.164255816489444,4.142541007779087,-60.4519095145166,2.7687541661783968
2014-06-03,-19.285948079824447,-19.285948079824447,-0.7528900118806625,-33.84981949999927,1.926463676907602,-68.01261035427451,0.34849428834859
2014-06-10,-21.07550450712442,-21.07550450712442,3.6281826543519884,-40.36145258694886,7.775733126894934,-69.52570840343833,17.5175252882691
2014-06-17,-17.969484737887978,-17.969484737887978,6.469067904964323,-39.04498924501238,8.742798442079241,-72.89480874501169,14.747383397523663
2014-06-24,-27.678994250297542,-27.678994250297542,-3.50557612606935,-45.6484789881855,1.789910672153951,-86.00993157513439,2.2312190182288845
2014-07-01,-27.82824212014675,-27.82824212014675,-3.9199585145426674,-55.507236370444275,-8.418244736856991,-94.55222561545669,-5.712116571272773
2014-07-08,-25.703503912687303,-25.703503912687303,-2.0603548257073285,-53.531746032834036,-6.792152426006197,-99.18022502101957,-9.741157526007726
2014-07-15,-29.030041265487668,-29.030041265487668,-5.652026697131802,-54.73354517817495,-8.34334959809928,-110.24078154861928,-20.20275560277952
2014-07-22,-22.865960225462914,-22.865960225462914,0.2469198242688435,-51.89600149095057,-5.855203937627067,-105.42774752378463,-14.790763127116946
2014-07-29,-22.475282707065343,-22.475282707065343,0.37246282404230513,-45.34124293252824,0.3501565940430922,-100.07478811070324,-8.838845263214907
2014-08-05,-22.48777957856655,-22.48777957856655,0.09483143391699045,-44.96306228563188,0.3789392141872838,-96.85906377658247,-5.02416247826622
2014-08-12,-23.944853991270065,-23.944853991270065,-1.6273774974106345,-46.4326335698366,-1.440030096769604,-91.77387650236489,0.6599832467792908
2014-08-19,-15.331110975146293,-15.331110975146293,6.721231000085391,-39.27596496641634,5.367240479898484,-84.23902725204826,8.793790947923839
2014-08-26,-22.386221195757386,-22.386221195757386,-0.5990137391498109,-37.71733217090366,6.576475248658994,-84.1499657407403,9.481810910052445
2014-09-02,-21.690461179614065,-21.690461179614065,-0.1683882416305984,-44.07668237537143,-0.13227298256094855,-83.35264734178782,10.878087759832852
2014-09-09,-20.627928568422792,-20.627928568422792,-2.4905014084884876,-42.318389748036836,-3.4485590677824547,-80.03572191894054,3.159956172201788
2014-09-16,-14.156554368138313,-14.156554368138313,1.9850526819180239,-34.78448293656108,-0.014767639641625863,-78.86116531193257,-3.4774047770071803
2014-09-23,-11.423128125816582,-11.423128125816582,2.722658814361786,-25.579682493954873,5.089917419629661,-67.89807224199176,-0.3262292632833095
2014-09-30,-15.814058649539946,-15.814058649539946,-3.6640918192395464,-27.237186775356506,-0.667702245106895,-62.021669711917646,-2.2617442895425555
2014-10-07,-7.024026203155517,-7.024026203155517,3.1301205172378106,-22.83808485269544,-0.36871570578075463,-48.417767346650365,3.5302405195077853
2014-10-14,-9.100450889021158,-9.100450889021158,-0.9421242785057977,-16.124477092176654,2.244776671403109,-43.36166386753321,0.7744264424080001
2014-10-21,-7.102352522313595,-7.102352522313595,-0.9398460216762032,-16.202803411334727,-1.9336650310898875,-39.04088826403022,-2.716715510305953
2014-10-28,-3.9679548763670027,-3.9679548763670027,0.19873151439242065,-11.070307398680574,-0.9012844017124504,-27.19478449085728,1.3174707065336335
2015-03-10,-6.831180932745337,-6.831180932745337,-2.0014078572741703,-8.750685814022994,-1.1429197213845086,-8.750685814023024,-0.9300032335566417
2015-03-17,-7.374154722690582,-7.374154722690582,-1.0525556950538881,-14.205335655435896,-3.5245877834502366,-16.124840536713606,-1.9895722280256507
2015-03-24,-5.2342756107449535,-5.2342756107449535,2.5791493690572675,-12.608430333435512,1.1452993178973205,-21.359116147458558,-0.9092621105490295
2015-03-31,-9.01034768000245,-9.01034768000245,0.29490325193619427,-14.24462329074738,2.5820881399908338,-28.44995894618333,-1.6855191811686439
2015-04-07,-11.664346104115246,-11.664346104115246,-0.8672692200110745,-20.67469378411767,-0.7750005740322834,-33.28312411755324,-0.204098624316984
2015-04-14,-10.82441430632025,-10.82441430632025,1.464488529949449,-22.488760410435475,0.4839145789970871,-36.73338370118291,2.6602275201585073
2015-04-21,-15.433387305215,-15.433387305215,-1.6526585168088772,-26.25780161153523,-0.2121448427554924,-46.93249539565296,-1.2242984460899677
2015-04-28,-9.137346801906824,-9.137346801906824,6.135207938664825,-24.5707341071218,4.5479044410633165,-47.059494517557326,4.963288160110821
2015-05-05,-16.71582595556974,-16.71582595556974,0.048554737167435746,-25.853172757476543,6.338447570055749,-52.11097436901182,6.226394036877899
2015-05-12,-22.99943199083209,-22.99943199083209,-4.743225345958489,-39.715257946401806,-4.450655839522341,-64.28599205352366,0.3659620805876358
2015-05-19,-21.3245897680521,-21.3245897680521,-1.576557171012972,-44.32402175888417,-5.9864378726575325,-70.17719451636076,0.7893453458556934
2015-05-26,-20.975257685035466,-20.975257685035466,0.26460086416918926,-42.299847453087544,-0.8892817874555234,-82.0151053994894,-4.733979809051377
2015-06-02,-21.624915386177598,-21.624915386177598,1.1067691151925843,-42.60017307121304,1.8833743737661521,-86.92419483009726,-3.328483511554083
2015-06-09,-16.128325455076993,-16.128325455076993,5.995630208816873,-37.753240841254566,6.1603509194781765,-80.05308829434216,4.698988330506836
2015-06-16,-23.97350063100457,-23.97350063100457,-1.9704917729493872,-40.101826086081545,3.661546260353518,-82.70199915729464,2.452818036095408
2015-06-23,-19.181279648840427,-19.181279648840427,2.7007824033742516,-43.15478027984497,0.458372652292411,-80.9080211210996,4.649536640831499
2015-06-30,-20.863374203443527,-20.863374203443527,0.8977410429306474,-40.04465385228393,3.4182796655539534,-80.14647993836553,5.8138183921066116
2015-07-07,-26.75181165859103,-26.75181165859103,-5.11164321805736,-47.61518586203454,-4.302471758494335,-90.76996614187955,-4.4069272428663595
2015-07-14,-28.176910427212714,-28.176910427212714,-6.657688792519547,-54.92872208580373,-11.766227396561206,-94.9733759380877,-8.20759647053346
2015-07-21,-20.50119107738137,-20.50119107738137,0.8970837514712926,-48.67810150459407,-5.665826229651046,-96.29328736662865,-9.12476733053336
2015-07-28,-16.110219061747195,-16.110219061747195,5.167108961264965,-36.611410139128544,6.250645721516797,-91.54013222493232,-3.9688716202959853
2015-08-04,-27.631570652127266,-27.631570652127266,-6.47518943495561,-43.74178971387444,-1.0299532675267784,-92.41989121846855,-4.445890045291165
2015-08-11,-23.352126763761042,-23.352126763761042,-2.3166923524280705,-50.98369741588829,-8.422080383840125,-87.59510755501688,0.7816341867015524
2015-08-18,-22.165626826137306,-22.165626826137306,-1.2511392206448377,-45.51775358989833,-3.1063559721478455,-89.25954330377282,-0.4800609935060578
2015-08-25,-14.521154007688164,-14.521154007688164,6.2723867919638,-36.68678083382545,5.5743973696273486,-87.67047824971378,1.511744629094025
2015-09-01,-18.82048236206174,-18.82048236206174,1.8521116317497217,-33.34163636974988,8.769322419405242,-78.85938995964825,10.7255734877006
2015-09-08,-22.96448577195406,-22.96448577195406,-2.2594754981982987,-41.78496813401578,0.3350386296515566,-78.47174896784128,4.919641492236394
2015-09-15,-14.055571289360522,-14.055571289360522,4.4563037803687635,-37.02005706131456,0.9640354310628254,-70.3616934310645,6.29227323816157
2015-09-22,-19.06659430414438,-19.06659430414438,-2.747854438470675,-33.12216559350488,0.7260126275825556,-74.9071337275207,-4.990590849146244
2015-09-29,-15.764984837174415,-15.764984837174415,-1.6393801755562887,-34.83157914131878,-5.119315191579496,-71.85163620263339,-8.672517115110537
2015-10-06,-8.468895488791167,-8.468895488791167,3.46357396877138,-24.23388032596556,1.3424693524837714,-57.35604591947049,-0.9143506229156628
2015-10-13,-10.627162117138504,-10.627162117138504,-0.8878278636024319,-19.09605760592965,2.344377801229733,-53.92763674724848,-4.22336524154526
2015-10-20,-7.043823380023241,-7.043823380023241,0.5023756694572512,-17.670985497161723,-0.366464361350495,-41.90486582312734,1.0619818917242725
2015-10-27,-5.9829224370419976,-5.9829224370419976,-0.6298585916170847,-13.026745817065217,0.14186104745606265,-32.12280342299492,4.106620501005082
2015-11-03,-3.4177854925394056,-3.4177854925394056,-0.25785685117007207,-9.400707929581381,-0.3680153363500498,-27.071693426743156,2.420306706288823
2016-03-08,-4.871655329316854,-4.871655329316854,-0.47678744516160787,-5.833331750333287,0.692971738136861,-5.833331750333316,2.6054602336604082
2016-03-15,-8.385498522222042,-8.385498522222042,-2.7443897469580403,-13.257153851538874,-4.062176111247368,-14.218830272555358,-0.7547403339995142
2016-03-22,-5.503302087448537,-5.503302087448537,1.3840475789096676,-13.888800609670557,-2.0251486175576936,-19.722132360003894,-1.2327444668859293
2016-03-29,-6.200382937304675,-6.200382937304675,1.9332076201622845,-11.703685024753192,2.8286412192392376,-24.96083887629211,-1.4461530286120272
2016-04-05,-8.574551990255713,-8.574551990255713,0.8052794583200011,-14.774934927560368,2.426065568253419,-28.663735537230973,-0.1237517349887689
2016-04-12,-8.78353349789977,-8.78353349789977,1.8425388417847,-17.35808548815546,2.5115892594796847,-29.0617705129087,4.503511243895623
2016-04-19,-15.542035553231834,-15.542035553231834,-3.6697223224386093,-24.32556905113158,-1.787220051675078,-39.100503978692,-0.5099242674419671
2016-04-26,-15.85041228160262,-15.85041228160262,-2.731858159715193,-31.392447834834435,-6.185424583556575,-48.75053332298994,-5.134655657177788
2016-05-03,-11.784031295031308,-11.784031295031308,2.5807637179648744,-27.634443576633906,0.24125392652351962,-51.960012627765536,-3.3188370073912665
2016-05-10,-7.933563614636659,-7.933563614636659,7.6774722894682785,-19.717594909667945,10.826776845310839,-51.11004274450243,2.5564308304339605
2016-05-17,-19.89771219342947,-19.89771219342947,-3.0404353982157772,-27.831275808066106,5.381770198734035,-55.465719384700066,3.2260521447984445
2016-05-24,-24.37010926902294,-24.37010926902294,-6.266591582700492,-44.26782146245239,-8.38610120383089,-63.98541637212038,-0.26834688805975304
2016-05-31,-16.6432834289968,-16.6432834289968,2.7064751484198517,-41.013392698019715,-2.46299818751865,-68.84466850608587,-0.10230106757953195
2016-06-07,-19.799392545223235,-19.799392545223235,3.2993415797569483,-36.44267597422001,7.806305996360635,-80.71049743667245,4.535008020140225
2016-06-14,-18.11152678281069,-18.11152678281069,5.06046092858487,-37.9109193280339,6.725442377563766,-78.92431202605367,7.636923009454037
2016-06-21,-26.498077884316444,-26.498077884316444,-3.2528365865055093,-44.609604667127115,0.4141367734802941,-81.05228064134718,6.824683972855553
2016-06-28,-28.916137501597404,-28.916137501597404,-5.597642617371093,-55.41421538591383,-10.003094210289397,-93.32513471394779,-4.132440521020925
2016-07-05,-23.206926176697014,-23.206926176697014,0.18482229394467353,-52.1230636782944,-6.3245627676529494,-96.73266834542156,-6.224244573799666
2016-07-12,-17.791062235459684,-17.791062235459684,5.673939821597379,-40.99798841215667,5.187892233494523,-96.41220379807055,-4.588050447753631
2016-07-19,-28.45968617349863,-28.45968617349863,-4.921430530026189,-46.25074840895829,0.32251197170992896,-98.37381208725273,-5.23392915821168
2016-07-26,-28.388692899048326,-28.388692899048326,-4.777183669160511,-56.84837907254693,-9.887738956868972,-97.84636748470366,-3.3907549769675853
2016-08-02,-24.972972255945205,-24.972972255945205,-1.2882094396411041,-53.36166515499351,-6.013645304298528,-99.61241356395186,-3.8410714775207566
2016-08-09,-25.501573711633682,-25.501573711633682,-1.7435573089142054,-50.47454596757886,-2.7391463818668598,-107.32292504012585,-10.23585337499972
2016-08-16,-20.149499206990004,-20.149499206990004,3.6817707821448487,-45.65107291862367,2.4717064020980786,-99.01273807361723,-0.6099368297669656
2016-08-23,-21.01623078137636,-21.01623078137636,2.888292794173868,-41.165729988366344,7.344429067372424,-91.64027595594527,8.07825486660002
2016-08-30,-23.185545210540294,-23.185545210540294,0.7922319514253111,-44.201775991916634,4.695762798839155,-89.85284891054035,11.181411490699972
2016-09-06,-19.93391963392496,-19.93391963392496,-2.305520663195054,-43.11946484446523,-5.002186128578586,-84.28519483283162,-2.0353799670701846
2016-09-13,-12.3487451903522,-12.3487451903522,3.6114801018964506,-32.282664824277134,2.342824315768695,-76.48444081619382,-0.9951140873367024
2016-09-20,-14.30787238627672,-14.30787238627672,-0.015820772509322012,-26.6566175766289,4.477081987634325,-69.77608242109417,-1.0472438292577806
2016-09-27,-13.850024526566267,-13.850024526566267,-1.2261465912801217,-28.157896912842965,-0.5159869244205524,-60.44056173712015,1.5277887176955147
2016-10-04,-8.276702663302421,-8.276702663302421,2.6790015935315754,-22.126727189868667,2.0233932227711406,-48.78334476649761,6.424517551413736
2016-10-11,-11.701919134706259,-11.701919134706259,-2.414388556353515,-19.97862179800866,0.6797090387903353,-48.136518710851675,0.31085547003894476
2016-10-18,-10.128258886933326,-10.128258886933326,-2.5089019870618348,-21.83017802163956,-4.66363676062317,-43.95690521150828,-2.2700191675219727
2016-10-25,-5.016757769323885,-5.016757769323885,0.9344254520663533,-15.145016656257189,-1.47026497108161,-35.1236384542659,-0.19724054730032492
2016-11-01,-3.0371381202014165,-3.0371381202014165,1.2458714227075687,-8.053895889525279,2.1290662198676955,-29.884073911164894,-1.7181641411036317
2017-03-07,-4.410709320195019,-4.410709320195019,-1.2205723473802204,-4.410709320194997,0.043463658390122895,-4.410709320195026,1.1814586193882795
2017-03-14,-4.890978613682091,-4.890978613682091,-0.5083664630394198,-9.301687933877089,-2.350503216462654,-9.301687933877117,0.8395136261009544
2017-03-21,-5.880566671490669,-5.880566671490669,-0.3054793430346763,-10.771545285172738,-1.3233488289289888,-15.182254605367786,-0.49201942499494855
2017-03-28,-4.729101519286632,-4.729101519286632,2.038460986982682,-10.609668190777281,1.3355400042957832,-19.911356124654418,-0.6720873238868137
2017-04-04,-6.200703893438913,-6.200703893438913,1.7593337906582747,-10.929805412725525,3.512414521235062,-21.701350697898313,2.08695172320585
2017-04-11,-7.972092662379145,-7.972092662379145,1.1804201995313637,-14.172796555818037,2.7664351169718646,-24.782464746595366,3.5548712949035632
2017-04-18,-19.611027218401432,-19.611027218401432,-9.266039178677602,-27.583119880780558,-8.146876469161342,-38.51292529350613,-5.626555631612433
2017-04-25,-8.757311296276747,-8.757311296276747,2.780151921274957,-28.368338514678157,-6.435083364229627,-42.541135070496246,-5.105731788265992
2017-05-02,-9.23824067544192,-9.23824067544192,3.4916977199231045,-17.995551971718648,6.434714917559198,-45.578671852499255,-3.5942349498742345
2017-05-09,-10.26988591812551,-10.26988591812551,3.652527655052836,-19.50812659356741,7.419152034597957,-47.87646510824562,-1.3429945852258314
2017-05-16,-10.930405676364899,-10.930405676364899,4.184483074641321,-21.200291594490388,8.223998772504295,-39.195843566209085,11.886660577205468
2017-05-23,-25.295296369493006,-25.295296369493006,-8.987932440673465,-36.225702045857886,-4.304399940033889,-55.73382863942534,-0.10229087567422823
2017-05-30,-16.29852468185127,-16.29852468185127,1.201314424781593,-41.59382105134425,-7.175507206690938,-62.79411264583469,-2.613541261688809
2017-06-06,-13.306005206704139,-13.306005206704139,8.894465539048543,-29.604529888555387,12.88612149344701,-65.83023193441332,14.723853750643315
2017-06-13,-25.670857206732034,-25.670857206732034,-3.3867280234182537,-38.97686241343615,3.9299677750183264,-80.57068346478044,1.486456091754377
2017-06-20,-21.603739868849516,-21.603739868849516,0.7640477520271816,-47.274597075581525,-3.9515880806676904,-76.87912696413696,6.68106646387605
2017-06-27,-25.10749650597572,-25.10749650597572,-2.6560504475379254,-46.71123637482522,-2.972048573459304,-85.68809878826141,-0.6248514887993224
2017-07-04,-25.517050525546072,-25.517050525546072,-2.981946029545359,-50.62454703152177,-6.469180423703776,-97.89914410710335,-11.332842936163075
2017-07-11,-27.36741034388542,-27.36741034388542,-4.74864741032361,-52.88446086943147,-8.312915455161395,-99.59569724425674,-11.526342201838276
2017-07-18,-19.510723149776457,-19.510723149776457,3.191698221346453,-46.878133493661856,-1.8904092729396993,-97.50268052518368,-7.930271611287026
2017-07-25,-24.48684356659651,-24.48684356659651,-1.700763757910682,-43.997566716372944,1.4063363108085696,-96.88202758580447,-5.80656480045873
2017-08-01,-25.11695249825716,-25.11695249825716,-2.2472142520102345,-49.60379606485365,-3.7837142312200527,-96.48192955851556,-3.903412901691638
2017-08-08,-23.541830997169015,-23.541830997169015,-0.5884343133591727,-48.65878349542615,-2.4225228553404747,-92.65635021179915,1.4252203165029584
2017-08-15,-23.025033493340015,-23.025033493340015,0.012021628030925768,-46.566864490509005,0.08557495602875065,-96.1706605553627,-0.5860361555824056
2017-08-22,-19.15646900013089,-19.15646900013089,3.9642445588029673,-42.18150249347089,4.887115759518949,-90.8402859888971,6.247392282332285
2017-08-29,-21.72106546163559,-21.72106546163559,1.4833065348593664,-40.87753446176646,6.607262597682734,-87.44439895227552,11.146333190432046
2017-09-05,-17.285430313646792,-17.285430313646792,0.3563347467221334,-39.00649577528236,-1.9400992291397188,-81.18799826875329,-1.2191123709781095
2017-09-12,-15.270502979308366,-15.270502979308366,0.9586735883844089,-32.55593329295514,1.7464354361873333,-73.43346775472165,0.9184716906398478
2017-09-19,-15.695004495233297,-15.695004495233297,-0.8784164202166718,-30.965507474541642,0.5728334376588684,-69.97200324982406,-1.2370102568762462
2017-09-26,-12.337507458776235,-12.337507458776235,1.06649212356424,-28.03251195400951,0.741801141249038,-60.5884452469647,2.529601293685836
2017-10-03,-14.090883791446684,-14.090883791446684,-2.099472701782359,-26.428391250222898,-0.4181059719645184,-57.3938987247646,0.10720136347225662
2017-10-10,-9.523816936463117,-9.523816936463117,1.0550056605250582,-23.614700727909778,-0.3684432665933599,-51.64721268191934,0.23694095390382586
2017-10-17,-10.230938923358917,-10.230938923358917,-1.0647048190468915,-19.754755859822012,0.7274737845524442,-46.183147110044956,0.08406007348094136
2017-10-24,-10.014717337489127,-10.014717337489127,-2.2610717258532524,-20.245656260848023,-2.5274544334737357,-43.86035698875785,-3.210096257645638
2017-10-31,-3.473897571349516,-3.473897571349516,2.8671595476102087,-13.488614908838622,1.465559101593703,-33.24337076866068,1.789943510037844
